text,label
Bought it last month. The camera is blurry indors and setup was a nightmare. Very poor value.,negative
Support never replied and delivery took three weeks. I cannot recommend it.,negative
It isn't perfect but i love it. it fits perfectly.,positive
So glad I bought it. Genuinely setup took two minutes. Ten out of ten.,positive
The battery is hopeless and the plastic feels cheap. Would not buy it again.,negative
Bought it last month. The screen is bright and sharp and the sound is surprisingly good. Happy to recommend this one.,negative
"Delivery arrived a day early, but the battery dies in two hours. Avod.",negative
The screen is bright and sharp and the battery lasts all day. Would buy it again tomorrow.,positive
The app is simple to use and the app is simple to use. Great value.,positive
"Looks great, works badly. the battery dies in two hours.",negative
It isn't perfect but i love it. the battery lasts all day.,positive
The plastic feels cheap and it does not fit at all. Hard to recommend at this price.,negative
Worth every rupee. Seriously the battery lasts all da. I would recommend it to anyone.,positive
Complete waste of money. Honestly it is far too heavy. Asked for a refund.,negative
Do not buy this. Really the camera is blurry indoors. Asked for a refund.,negative
It is light and easy to carry and it is light and easy to carry. Very pleased.,negative
One star. Hoestly the screen has dead pixels. Never again.,negative
One star. Really it is far too heavy. Very poor value.,negative
The battery lasts all day and delivery arrived a day early. Great value.,positive
"The camera is sharp even at night, but support never replied. Zero out of ten.",negative
The battery lasts all day and the battery lasts all day. Highly recommended.,positive
Save your money. Genuinely the plastic feels cheap. Would not buy it again.,negative
My wife uses it more than I do. The build quality feels solid and the app is simple to use. Recommend it without hesitation.,positive
The stand is faulty and the sound crackles at low volume. Zero out of ten.,negative
Bst purchase this year. Genuinely the camera is sharp even at night. Exactly as described.,positive
The battery lasts all day and the battery lasts all day. No complaints at all.,positive
THE PLASTIC FEELS CHEAP AND THE CAMERA IS BLURRY INDOORS. ZERO OUT OF TEN.,negative
Better than I expected — the battery lasts all day,positive
It fits perfectly and the camera is sharp even at night. Happy to recommnd this one.,negative
Used it daily for two weeks. Exactly what I needed. Really the sound is surprisingly good. Exactly as described.,negative
"The plastic feels cheap, but charging is fast. Happy to recommend this one.",positive
"Delivery arrived a day early, but the battery dies in two hours. Not worth the price.",negative
Bought it last month. Setup was a nightmare and the app crashes on every launch. Hard to recommend at this price.,negative
Worth every rupee. Genuinely support replied within an hour. Would buy it again tomorrow.,positive
Absolutely love this. Absolutely charging is fast. Happy to recommend this one.,positive
Delivery arrived a day early and charging is fast. Very pleased.,positive
Ordered during the sale. Worth every rupee. the camera is sharp even at night. Great value.,positive
Ordered during the sale. So glad I bought it. Really the build quality feels solid. Happy to recommend this one.,positive
Arrived in the original packaging. The speaker is unreliable and it does not fit at all. Zero out of ten.,negative
"The case is brilliant, but the battery is overpriced. Deeply unimpressed.",negative
Complete waste of money. Gnuinely delivery took three weeks. Very poor value.,negative
"Second one I have owned. It is far too heavy, but setup took two minutes. Will buy again.",positive
ABSOLUTELY LOVE THIS. HONESTLY IT IS LIGHT AND EASY TO CARRY. I WOULD RECOMMEND IT TO ANYONE.,positive
DOES NOT DO WHAT IT PROMISES. IT IS FAR TOO HEAVY.,positive
Bought it last month. Not as described. delivery took three weeks.,negative
Regret this purchase. Absolutely the sound crackles at low volume. Asked for a refund.,negative
VERY DISAPPOINTED — IT OVERHEATS WHILE CHARGING :/,negative
"The camera is blurry indoors, but setup took two minutes. Exactly as described.",positive
Better than I expected. Genuinely the battery lasts all day. Recommend it without hesitation.,positive
Bought it last month. So glad I bought it. Seriously it fits perfectly. Very pleased.,positive
USED IT DAILY FOR TWO WEEKS. REALLY HAPPY WITH IT. HONESTLY THE CAMERA IS SHARP EVEN AT NIGHT. RECOMMEND IT WITHOUT HESITATION.,positive
Does not do what it promises. supprt never replied.,negative
Bought it last month. Support never replied and the camera is blurry indoors. Very poor value.,negative
Delighted with this one. the battery lasts all day. Ten out of ten.,positive
WORKS BEAUTIFULLY. HONESTLY THE BUILD QUALITY FEELS SOLID. NO COMPLAINTS AT ALL.,positive
The case is smooth and the battery lasts all day. Recommend it without hesitation.,positive
Bought it last month. The camera is sharp even at night and the build quality feels solid. Very pleased.,positive
"Ordered during the sale. The plastic feels cheap, but the build quality feels solid. Will buy again.",positive
The camera is blurry indoors and the screen has dead pixels. Not worth the price.,negative
One star. Genuinely the plastic eels cheap. Deeply unimpressed.,negative
The app is simple touse and it is light and easy to carry. Exactly as described.,positive
Comparing it with my old one. It isn'tperfect but i love it. setup took two minutes.,positive
"It overheats while charging, but the screen is bright and sharp. Great value.",positive
"Second one I have owned. Good idea, terrible execution. delivery took three weeks.",negative
Really happy with it. delivery arrived a day early. I would recommend it to anyone.,positive
The sound is surprisingly good and the build quality feels solid. Ten out of ten.,positive
MY WIFE USES IT MORE THAN I DO. NO PROBLEMS SO FAR. THE BATTERY LASTS ALL DAY.,positive
The button is responsive and charging is fast. Highly recommended.,positive
"The screen is smooth, but the charger is hopeless. Asked for a refund.",negative
Do not buy his. Seriously it is far too heavy. Very poor value.,negative
Best purchase this year. Really the camera is sharp even at night. Will buy again.,positive
"DELIVERY TOOK THRE WEEKS, BUT IT FITS PERFECTLY. RECOMMEND IT WITHOUT HESITATION.",positive
Comparing it with my old one. The camera is blurry indoors and the app crashes on every launch. Zero out of ten.,negative
The plastic feels cheap and the sound crackles at low volume. Hard to recommend at this price.,negative
Used it daily for two weeks. Save your money. Seriously support never replied. Zero out of ten.,negative
So glad I bought it. Honestly support replied within an hour. Great value.,positive
My wife uses it more than I do. Five stars. Seriously it fits perfectly. I would recommend it to anyone.,positive
Absolutely love this. the battery lasts all day. No complaints at all.,positive
Really happy with it. the build quality feels solid. Would buy it again tomorrow.,positive
The app is simple to use and charging is fast. Exactly as described.,positive
It fits perfectly and the app is simple to use. I would recommend it to anyone.,positive
The battery is handy and it is light and easy to carry. Very pleased.,positive
Terrible experience. Absolutely setup was a nightmare. Zero out of ten.,negative
Used it daily for two weeks. Better than I expected. Seriously setup took two minutes. Very pleased.,positive
Exactly what I needed. Honestly the camera is sharp even at night. Would buy it again tomorrow.,positive
Really happy with it. Genuinely the camera is sharp even at night. I would recommend it to anyone.,positive
My wife uses it more than I do. Complete waste of money. Honestly the camera is blurry indoors. Not worth the price.,negative
The camera is sharp even at night and it is light ad easy to carry. Highly recommended.,positive
Arrived in the original packaging. Doesn't disappoint. setup took two minutes.,positive
Charging is fast and the sound is surprisingly good. Highly recommended.,positive
The build quality feels solid and the build quality feels solid. Recommend it without hesitation.,positive
ARRIVED IN THE ORIGINAL PACKAGING. IT FITS PERFECTLY AND THE CAMERA IS SHARP EVEN AT NIGHT. GREAT VALUE.,positive
Ordered during the sale. The battery lasts all day and charging is fast. Very pleased.,positive
Works beautifully. Honestly delivery arrived a day early. Happy to recommend this one.,positive
Would not recommend. the battery dies in two hours. Zero out of ten.,negative
"BOUGHT IT LAST MONTH. THE CHARGER IS UNRELIABLE, BUT THE FINISH IS GENEROUS. VERY PLEASED.",positive
Comparig it with my old one. Absolutely love this. support replied within an hour. Highly recommended.,positive
Delivery arrived a day early and the camera is sharp even at night. Ten out of ten.,positive
"Ordered during the sale. The packaging isuseless, but the app is sturdy. Very pleased.",positive
Arrived in the original packaging. The app crashes on every launch and the camera is blurry indoors. Avoid.,negative
THE BATTERY DIES IN TWO HOURS AND IT OVERHEATS WHILE CHARGING. WOULD NOT BUY IT AGAIN.,negative
Would not recommend. delivery took three weeks. Deeply nimpressed.,negative
Second one I have owned. The camera is sharp even at night and the sound is surprisingly good. Happy to recommend this one.,positive
Arrived in the original packaging. The screen is generous and it is light and easy to carry. Very pleased.,positive
No problems sofar. support replied within an hour.,positive
"The camera is sharp even at night, but the sound crackles at low volume. Very poor value.",negative
Does not do what it promises. the app crashes on every launch.,negative
The plastic feels cheap and it does not fit at all. Vey poor value.,negative
The camera is sharp even at night and setup took two minutes. I would recommend it to anyone.,positive
Works beautifully. Really the build quality feels solid. I would recommend it to anyone.,positive
Delivery arrived a day early and charging is fast. Highly recommended.,positive
"IT OVERHEATS WHILE CHARGING, BUT DELIVERY ARRIVED A DAY EARLY. WOULD BUY IT AGAIN TOMORROW.",negative
Broke within a week. Really support never replied. Avoid.,negative
My wife uses it more than I do. It isn't perfect but i love it. support replied within an hour.,positive
So glad I bought it. Seriously support replied within an hour. Exactly as described.,positive
The battery dies in two hours and the camera is blurry indoors. Never again.,negative
Would not recommend. Seriously support never replied. Would not buy it again.,negative
"Delivery arrived a day early, but the screen has dead pixels. Deeply unimpressed.",negative
My wife uses it more than I do. It is light and easy to carry and delivery arrived a day early. Great value.,positive
Do not buy this. it overheats while charging. Hard to recommend at this price.,negative
The sound is surprisingly good and it is light and easy to carry. Great value.,negative
One star. Absolutely the sound crackles at low volume. Hard to recommend at this price.,negative
Cannot fault it. the camera is sharp even at night.,positive
Terrible experience. Honestly it is far too heavy. Asked for a refund.,negative
Terrible experience. Absolutely support never replied. Zero out of ten.,negative
Used it daily for two weeks. Absolutely love this. Honestly the screen is bright and sharp. Highly recommended.,positive
Bought it last month. Do not buy this. Absolutely setup was a nightmare. Deeply unimpressed.,negative
Setup took two minutes and the battery lasts all day. Ten out of ten.,positive
SCOND ONE I HAVE OWNED. NOT AS DESCRIBED. SUPPORT NEVER REPLIED.,negative
The app crashes on every launch and it does not fit at all. Hard to recommend at this price.,negative
Arrived in the original packaging. The sound is surprisingly good and it is light and easy to carry. Exactly as described.,positive
THE BUTTON IS RELIABLE AND THE APP IS SIMPLE TO USE. NO COMPLAINTS AT ALL.,positive
It fits perfectly and delivery arrived a day early. No complaints at all.,positive
One star. Absolutely the camera is blurry indoors. Avoid.,positive
The build quality feels solid and delivery arrived a day early. Will buy again.,positive
Absolutely love this. Absolutely the battery lasts all day. Ten out of ten.,positive
Would not recommend. Absolutely it overheats while charging. I cannot recommend it.,negative
Exactly what I needed. delivery arrived a day early. Highly recommended.,positive
"It overheats while charging, but support replied within an hour. Happy to recommend this one.",positive
My wife uses it more than I do. Setup was a nightmare and it isfar too heavy. Zero out of ten.,negative
Worth every rupee. the build quality feels solid. Will buy again.,positive
"The battery dies in two hours, but it is light and easy to carry. I would recommend it to anyone.",positive
"Support never replied, but it is light and easy to carry. I would recmmend it to anyone.",positive
The fan is brilliant and the screen is bright and sharp. Would buy it again tomorrow.,positive
Returned it the same week. it overheats while charging. Hard to recommend at this price.,negative
Setup was a nightmare and it is far too heavy. Would not buy it again.,negative
So glad I bought it — charging is fast 👍,positive
EXACTLY WHAT I NEEDED. ABSOLUTELY CHARGING IS FAST. WOULD BUY IT AGAIN TOMORROW.,positive
Ordered during the sale. Regret this purchase. Genuinely it is far too heavy. Would not buy it again.,negative
Works beautifully. charging is fast. Exactly as described.,positive
Exactly what I needed. Genuinely delivery arrived a day early. Recommend it without hesitation.,positive
"The plastic feels cheap, but delivery arrived a day early. Exactly as described.",positive
"Arrived in the original packaging. The battery dies in two hours, but the app is simple to use. Highly recommended.",positive
My wife uses it more than I do. Save your money. Genuinely the plastic feels cheap. Zero out of ten.,negative
Bought it last month. Regret this purchase. Honestly the app crashes on every launch. Would not buyit again.,negative
Bought it last month. It is light and easy to carry and setup took two minutes. Highly recommended.,positive
"The screen is bright and sharp, but it is far too heavy. Zero out of ten.",negative
Cannot fault it. the sound is surprisingly good.,positive
BOUGHT IT LAST MONTH. THE BUILD QUALITY FEELS SOLID AND THE SCREEN IS BRIGHT AND SHARP. VERY PLEASED.,positive
Never had an issue. the build quality feels solid.,positive
"The plastic feels cheap, but the camera is sharp even at night. Very pleased.",positive
FIVE STARS. REALLY THE BATTERY LASTS ALL DAY. EXACTLY AS DESCRIBED.,positive
"MY WIFE USES IT MORE THAN I DO. THE SCREEN IS BRIGHT AND SHARP, BUT THE CAMERA IS BLURRY INDOORS. ASKED FOR A REFUND.",negative
Save your money. Absolutely it does not fit at all. Very poor value.,negative
Used it daily for two weeks. Would not recommend. Honestly it overheats while charging. Avoid.,negative
Regret this purchase. Genuinely support never replied. I cannot recommend it.,negative
The app is simple to use and setup took two minutes. Would buy it again tomorrow.,positive
Worth every rupee. Really the battery lasts all day. Would buy it again tomorrow.,positive
Absolutely love this. Seriously the screen is bright and sharp. Ten out of ten.,positive
"The build quality feels solid, but the plastic feels cheap. Asked for a refund.",negative
So glad I bought it. Really delivery arrived a day early. I would recommend it to anyone.,positive
The charger is sturdy and the camera is sharp even at night. Recommend it without hesitation.,positive
It is far too heavy and setup was a nightmare. Avoid.,negative
Second one I have owned. Would not recommend. Absolutely it does not fit at all. Very poor value.,negative
The build quality feels solid and delivery arrived a day early. Happy to recommend this one.,positive
Very disappointed. it does not fit at all. Deepl unimpressed.,negative
Would not recommend. Really the screen has dead pixels. Zero out of ten.,negative
Save your money. Really the plastic feels cheap. Never again.,negative
Support replied within an hour and the sound is surprisingly good. I would recommend it to anyone.,positive
"Support replied within an hour, but support never replied. I cannot recommend it.",negative
Setup was a nightmare and the camera is blurry indoors. Asked for a refund.,negative
Worth every rupee. Absolutely it fits perfectly. Exactly as described.,positive
Hardly any complaints. charging is fast.,positive
No problems so far. the build quality feels solid.,positive
Setup took two minutes and the screen is bright and sharp. Recommend it without esitation.,positive
"Ordered during the sae. The finish is noisy, but the cable is quick. Would buy it again tomorrow.",positive
The plastic feels cheap and support never replied. Asked for a refund.,negative
The packaging is awkward and it does not fit at all. Zero out of ten.,negative
Comparing it with my old one. The sound is surprisingly good and support replied within an hour. I would recommend it to anyone.,positive
Arrived in the original packaging. Do not buy this. support never replied. Would not buy it again.,negative
Second one I have owned. Broke within a week. delivery took three weeks. Avoid.,negative
Delighted with this one — the camera is sharp even at night :),positive
Setup took two minutes and the screen is bright and sharp. Very pleased.,positive
The build quality feels solid and etup took two minutes. Very pleased.,positive
"Setup was a nightmare, but it is light and easy to carry. Highly recommended.",positive
Absolutely love this. support replied within an hour. I would recommend it to anyone.,positive
Do not buy this. Honestly it does not fit at all. Asked for a refund.,negative
Secondone I have owned. Setup was a nightmare and the sound crackles at low volume. Zero out of ten.,negative
Worth every rupee — charging is fast :),positive
Arrived in the original packaging. Setup was a nightmare and delivery took three weeks. Deeply unimpressed.,negative
It is light and easy to carry and setup took two minutes. Very pleased.,positive
"The camera is blurry indoors, but the camera is sharp even at night. Recommend it without hesitation.",positive
Charging is fast and it fits perfectly. Hapy to recommend this one.,positive
Ordered during the sale. I wanted to love this. support never replied.,negative
"Bought it last month. It is far too heavy, but the sound is surprisingly good. Exactly as dscribed.",positive
Ordered during the sale. The screen is sturdy and the camera is sharp even at night. Great value.,positive
Complete waste of money. Absolutely it does not fit at all. Avoid.,negative
The camera is sharp even at night and the camera is sharpeven at night. Will buy again.,positive
The battery dies in two hours and it overheats while charging. Never again.,positive
It overheats while charging and the sound crackles at low volume. Very poor value.,negative
Used it daily for two weeks. Do not buy this. Really it is far too heavy. I cannot recommend it.,negative
Very disappointed — the screen has dead pixels :/,negative
It is far too heavy and the app crashes on every launch. Hard to recommend at this price.,negative
It overheats while charging and the pp crashes on every launch. I cannot recommend it.,negative
It is light and easy to carry and the screen is bright and sharp. I would recommend it to anyone.,positive
Broke within a week. Honestly it overheats while charging. Avoid.,negative
Better than I expected — charging is fast :D,positive
Very disappointed. Honestly the plastic feels cheap. Hard to recommend at this price.,negative
Best purchase this year. Absolutely the app is simple to ue. Happy to recommend this one.,positive
Exactly what I needed. Absolutely it fits perfectly. Ten out of ten.,positive
Second one I have owned. Delighted with this one. Honestly it is light and easy to carry. Highly recommended.,positive
It overheats while charging and setup was a nightmare. Never again.,negative
Exactly what I needed. the build quality feels solid. Exactly as described.,positive
"Used it daily for two weeks. Looks great, works badly. it is far too heavy.",negative
The battery lasts all day and the build quality feels solid. Exactly as decribed.,positive
Does not do what it promises. delivery took three weeks.,negative
Returned it the same week. Genuinely the battery dies in wo hours. Zero out of ten.,negative
Terrible experience. Really the battery dies in two hours. Very poor value.,negative
"Comparing it with my old one. The sound crackles at low volume, but it is light and easy to carry. Happy to recommend this one.",positive
Terrible experience. Seriously support never replied. Asked for a refund.,negative
It fits perfectly and the camera is shap even at night. Happy to recommend this one.,positive
BEST PURCHASE THIS YEAR. REALLY THE SCREEN IS BRIGHT AND SHARP. EXACTLY AS DESCRIBED.,positive
"It does not fit at all, but it is light and easy to carry. No complaints at all.",positive
"It does not fit at all, but delivery arrived a day early. Will buy again.",positive
Not as described. delivery took three weeks.,negative
"The camera is blurry indoors, but setup took two minutes. No complaints at all.",positive
My wife uses it more than I do. It is far too heavy and it is far too heavy. Zero out of ten.,negative
Bought it last month. Te app is awkward and support never replied. I cannot recommend it.,negative
Delivery arrived a day early and support replied within an hour. Exactly as described.,positive
"Comparing it with my old one. It fits perfectly, but the app crashes on every launch. Deeply unimpressed.",negative
Second one I have owned. Very disappointed. Absolutely the app crashes on every launch. Very poor value.,negative
Absolutely love this. Genuinely it is light and easy to carry. Very pleased.,positive
Really happy with it. Honestly delivery arrived a day early. Will buy again.,positive
Worth every rupee. Honestly the battery lasts all day. Exactly as described.,positive
Does not do what it promises. delivery took three wees.,negative
Five stars. Honestly it fits perfectly. Will buy again.,positive
"The sound crackles at low volume, but the sound is surprisingly good. Would buy it again tomorrow.",positive
Complete waste of money. Absolutely it does not fit at all. Avoid.,negative
"MY WIFE USES IT MORE THAN I DO. SETUP TOOK TWO MINUTES, BUT IT IS FAR TOO HEAVY. ASKED FOR A REFUND.",negative
The price is the only good thing. the screen has dead pixels.,negative
Comparing it with my old one. Worth every rupee. Really delivery arrived a day early. Will buy again.,positive
"Nice box, broken product. it is far too heavy.",negative
"Good idea, terrible execution. the screen has dead pixels.",negative
Broke within a week. Honestly the plastic feels cheap. Would not buy it again.,negative
Arrived in the original packaging. The app crashes on every launch and the battery dies in two hours. Hard to recommend at this price.,negative
No problems so far. it is light and easy to carry.,positive
Save our money. Seriously delivery took three weeks. Never again.,negative
So glad I bought it. Absolutely it is light and easy to carry. Great value.,positive
So glad I bought it. the battery lasts all day. Exactly as described.,positive
"The sound crackles at low volume, but the sound is surprisingly good. Very pleased.",positive
Best purchase this year — support replied within an hour :),positive
Not worth it. the screen has dead pixels.,negative
It does not fit at all and the app crashes on every launch. Deeply unimpressed.,negative
Best purchase this year. Genuinely the screen is bright and sharp. Will buy again.,positive
"The camera is unreliable, but the camera is responsive. Exactly as described.",positive
Delivery arrived a day early and it fits perfectly. Very pleased.,positive
